name;slug
IBM;IBM
HP;HP
DELL;DELL
Avaya;Avaya
Lenovo;Lenovo
Fujitsu;Fujitsu
Huawei;Huawei
Cisco;Cisco
Hitachi;Hitachi
Oracle;Oracle
NetApp;NetApp
EMC;EMC
APC;APC
Broadcom;Broadcom
Brocade;Brocade
F5 Networks;F5Networks
Fortinet;Fortinet
Infortrend;Infortrend
Intel;Intel
Juniper;Juniper
Qlogic;Qlogic
Qnap;Qnap
Synology;Synology
Supermicro;Supermicro
Qtech;Qtech
¡ÛÎ‡Ú;Bulat
Ã÷—“;MCST
